AIRPORT_ID,AIRPORT_ABR,CITY_NAME,STATE_ABR,STATE_NM
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania
10140,ABQ,"Albuquerque, NM",NM,New Mexico
10141,ABR,"Aberdeen, SD",SD,South Dakota
10154,ACK,"Nantucket, MA",MA,Massachusetts
10157,ACV,"Arcata/Eureka, CA",CA,California
10158,ACY,"Atlantic City, NJ",NJ,New Jersey
10165,ADK,"Adak Island, AK",AK,Alaska
10170,ADQ,"Kodiak, AK",AK,Alaska
10185,AEX,"Alexandria, LA",LA,Louisiana
10208,AGS,"Augusta, GA",GA,Georgia
10257,ALB,"Albany, NY",NY,New York
10268,ALO,"Waterloo, IA",IA,Iowa
10279,AMA,"Amarillo, TX",TX,Texas
10299,ANC,"Anchorage, AK",AK,Alaska
10333,APN,"Alpena, MI",MI,Michigan
10372,ASE,"Aspen, CO",CO,Colorado
10397,ATL,"Atlanta, GA",GA,Georgia
10408,ATW,"Appleton, WI",WI,Wisconsin
10423,AUS,"Austin, TX",TX,Texas
10431,AVL,"Asheville, NC",NC,North Carolina
10434,AVP,"Scranton/Wilkes-Barre, PA",PA,Pennsylvania
10469,AZO,"Kalamazoo, MI",MI,Michigan
10529,BDL,"Hartford, CT",CT,Connecticut
10551,BET,"Bethel, AK",AK,Alaska
10561,BFL,"Bakersfield, CA",CA,California
10577,BGM,"Binghamton, NY",NY,New York
10581,BGR,"Bangor, ME",ME,Maine
10590,IFP,"Bullhead City, AZ",AZ,Arizona
10599,BHM,"Birmingham, AL",AL,Alabama
10620,BIL,"Billings, MT",MT,Montana
10627,BIS,"Bismarck/Mandan, ND",ND,North Dakota
10631,BJI,"Bemidji, MN",MN,Minnesota
10685,BMI,"Bloomington/Normal, IL",IL,Illinois
10693,BNA,"Nashville, TN",TN,Tennessee
10713,BOI,"Boise, ID",ID,Idaho
10721,BOS,"Boston, MA",MA,Massachusetts
10732,BQN,"Aguadilla, PR",PR,Puerto Rico
10739,BRD,"Brainerd, MN",MN,Minnesota
10747,BRO,"Brownsville, TX",TX,Texas
10754,BRW,"Barrow, AK",AK,Alaska
10779,BTM,"Butte, MT",MT,Montana
10781,BTR,"Baton Rouge, LA",LA,Louisiana
10785,BTV,"Burlington, VT",VT,Vermont
10792,BUF,"Buffalo, NY",NY,New York
10800,BUR,"Burbank, CA",CA,California
10821,BWI,"Baltimore, MD",MD,Maryland
10849,BZN,"Bozeman, MT",MT,Montana
10868,CAE,"Columbia, SC",SC,South Carolina
10874,CAK,"Akron, OH",OH,Ohio
10918,CDC,"Cedar City, UT",UT,Utah
10926,CDV,"Cordova, AK",AK,Alaska
10980,CHA,"Chattanooga, TN",TN,Tennessee
10990,CHO,"Charlottesville, VA",VA,Virginia
10994,CHS,"Charleston, SC",SC,South Carolina
11003,CID,"Cedar Rapids/Iowa City, IA",IA,Iowa
11013,CIU,"Sault Ste. Marie, MI",MI,Michigan
11042,CLE,"Cleveland, OH",OH,Ohio
11049,CLL,"College Station/Bryan, TX",TX,Texas
11057,CLT,"Charlotte, NC",NC,North Carolina
11066,CMH,"Columbus, OH",OH,Ohio
11076,CMX,"Hancock/Houghton, MI",MI,Michigan
11097,COD,"Cody, WY",WY,Wyoming
11109,COS,"Colorado Springs, CO",CO,Colorado
11111,COU,"Columbia, MO",MO,Missouri
